Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Edad,Genero,Nacionalidad,Provincia,Distrito,
ASALTO,ARMA BLANCA,2021-01-07,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,LA UNION,
ASALTO,ARMA BLANCA,2021-01-09,12:00:00 - 14:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2021-01-14,06:00:00 - 08:59:59,EDIFICACION,PULPERIA/ABASTECEDOR/MINISUPER/EXPENDIO CARNE [EDIFICACION],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-09,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,SAN JOSE,TIBAS,
ASALTO,ARMA BLANCA,2021-01-18,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,SIQUIRRES,
ASALTO,ARMA BLANCA,2021-01-20,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-01-21,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,TIBAS,
ASALTO,ARMA BLANCA,2021-01-21,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,OREAMUNO,
ASALTO,ARMA BLANCA,2021-01-24,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-22,21:00:00 - 23:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-01-26,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-24,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,CARTAGO,CARTAGO,
ASALTO,ARMA BLANCA,2021-01-30,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2021-02-01,12:00:00 - 14:59:59,EDIFICACION,LICORERA [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,
ASALTO,ARMA BLANCA,2021-02-03,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON,
ASALTO,ARMA BLANCA,2021-02-03,09:00:00 - 11:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,GRECIA,
ASALTO,ARMA BLANCA,2021-02-04,12:00:00 - 14:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-02-06,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-08,00:00:00 - 02:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-01-29,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-09,18:00:00 - 20:59:59,PERSONA,COBRADOR/MENSAJERO/PAGADOR [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,
ASALTO,ARMA BLANCA,2021-02-19,18:00:00 - 20:59:59,PERSONA,PASAJERO DE TRANSPORTE PUBLICO [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,CURRIDABAT,
ASALTO,ARMA BLANCA,2021-02-06,15:00:00 - 17:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-02-23,21:00:00 - 23:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Adulto Mayor,HOMBRE,COSTA RICA,HEREDIA,BELEN,
ASALTO,ARMA BLANCA,2021-03-04,09:00:00 - 11:59:59,PERSONA,MENOR DE EDAD [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,CARTAGO,
ASALTO,ARMA BLANCA,2021-02-27,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-26,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-02-25,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2021-01-03,06:00:00 - 08:59:59,EDIFICACION,PANADERIA [EDIFICACION],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,UPALA,
